"b_nr","generalite","autor","titel","publikation","band","jahr","seiten","ort","ae","zu_ae","cil","sonstigeCorpora","bearbeiter","datum"
"B014112","N","Piccottini, G.","Bauen und Wohnen in der Stadt auf dem Magdalensberg.","","","1989","16 S.","Wien","1992, 1341.","","","","Gräf","2012-12-03"
"B014113","N","Piccottini, G.","Die Ausgrabungen auf dem Magdalensberg 1983 und 1984.","Carinthia I","175","1985","41-56","","1992, 1341.","","","","Gräf","2012-12-03"
"B014114","N","Tschinderle, I.","Eine römerzeitliche Grabinschrift in der Kirche von Kerschdorf.","Carinthia I","179","1989","55-58","","1992, 1362.","","","","Gräf","2012-12-03"
"B014115","N","Glaser, F.","Neuerwerbungen im Museum Teurnia. Meilensteine - Votivinschriften.","Carinthia I","176","1986","123-129","","1992, 1353; 1992, 1360.","","","","Gräf","2012-12-03"
"B014116","N","Tscholl, E.","Ausgrabungen im römischen Wallsee (Kastell und Vicus).","JbMusLinz","134","1989","63-78","","1992, 1315.","","","","Gräf","2012-12-03"
"B014117","N","Miglbauer, R.","KG Wels. SG Wels.","FuBerÖ","28","1989","249","","1992, 1321.","","","","Gräf","2012-12-03"
"B014118","N","Sauer, F.","KG Mauer bei Amstetten, SG Amstetten, VB Amstetten (ÖK 52, O 47 mm, S 216 mm).","FuBerÖ","30","1991","285-294","","1992, 1314.","","","","Gräf","2012-12-03"
"B014119","N","Miglbauer, R. - Schüller, N.","KG Wels. SG Wels.","FuBerÖ","26","1987","249","","1992, 1320.","","","","Gräf","2012-12-03"
"B014120","N","Farka, C.","Ein römischer Altar aus Ruprechtshofen, Niederösterreich.","FuBerÖ","28","1989","39-42","","1992, 1313.","","","","Gräf","2012-12-03"
"B014121","N","Scherrer, P.","KG St. Pölten, SG St. Pölten.","FuBerÖ","28","1989","242-244","","1992, 1311.","","","","Gräf","2012-12-03"
"B014122","N","Scherrer, P.","Ausgrabungen in St. Pölten / Municipium Aelium Cetium 1988/89.","AustrRom","39","1989","28-34","","1992, 1311.","","","","Gräf","2012-12-03"
"B014123","N","Piccottini, G.","KG Maria Saal, MG Maria Saal, VB Klagenfurt-Land.","FuBerÖ","24/25","1985/86","282","","1992, 1344.","","","","Gräf","2012-12-03"
"B014124","N","Farka, C. - Kladnik, S. - Kladnik, O.","KG Maria Saal, MG Maria Saal, VB Klagenfurt-Land.","FuBerÖ","28","1989","212-214","","1992, 1345.","","","","Gräf","2012-12-03"
"B014125","N","Fuchs, M. - Weber, E.","Eine frühchristliche Grabinschrift aus St. Stefan ob Waiern in Kärnten (Österreich).","AKB","21","1991","539-542","","1992, 1339.","","","","Feraudi","2015-11-13"
"B014126","N","Piccottini, G.","KG Maria Saal, MG Maria Saal, VB Klagenfurt-Land.","FuBerÖ","31","1992","475","","1992, 1346; 1992, 1349.","","","ILLPRON 0613.","Gräf","2012-12-05"
"B014127","N","Piccottini, G.","Römerzeitliche Grabtituli aus Maria Saal.","AustrRom","42","1992","30","","1992, 1346; 1992, 1349.","","","ILLPRON 0613.","Gräf","2012-12-05"
"B014128","N","Piccottini, G.","KG Kading, MG Maria Saal, VB Klagenfurt-Land.","FuBerÖ","24/25","1985/86","280","","1992, 1347.","","","","Gräf","2012-12-03"
"B014129","N","Piccottini, G.","Drei römerzeitliche Grabdenkmäler aus Kärnten.","AustrRom","35","1985","12-13","","1992, 1344; 1992, 1347.","1990, 0775.","","","Gräf","2014-02-04"
"B014130","N","Fuchs, M. - Weber, E.","KG Kading, MG Maria Saal, VB Klagenfurt-Land.","FuBerÖ","30","1991","277","","1992, 1348.","","","","Gräf","2012-12-03"
"B014131","N","Fuchs, M.","KG Leibsdorf, OG Poggersdorf, VB Klagenfurt-Land.","FuBerÖ","23","1984","279","","1992, 1350.","","","","Gräf","2012-12-03"
"B014132","N","Fuchs, M. - Ubl, H.","Fund zweier röm. Inschriften in Poggersdorf.","AustrRom","33","1983","22","","1992, 1350.","1984, 0713.","","ILLPRON 0357.","Gräf","2014-02-04"
"B014133","N","Glaser, F.","KG St. Stefan, OG Globasnitz, VB Völkermarkt.","FuBerÖ","24/25","1985/86","285","","1992, 1366.","","","","Gräf","2012-12-03"
"B014134","N","Glaser, F.","Archäologische Funde aus Iuenna / Globasnitz.","Carinthia I","176","1986","135-140","","1992, 1366.","","","","Gräf","2012-12-03"
"B014135","N","Glaser, F.","Römische Grabinschrift in St. Stefan (Gemeinde Globasnitz).","AustrRom","36","1986","16","","1992, 1366.","","","","Gräf","2012-12-03"
"B014136","N","Piccottini, G.","KG Ottmanach, OG Magdalensberg, VB Klagenfurt-Land.","FuBerÖ","24/25","1985/86","284","","1992, 1342.","","","","Gräf","2012-12-03"
"B014137","N","Karpf, K.","KG Villach, SG Villach (ÖK 201, W 20 mm, S 254 mm).","FuBerÖ","30","1991","278","","1992, 1338.","","","","Gräf","2012-12-03"
"B014138","N","Cagnat, R.","XVIII. Les fouilles de Timgad.","CRAI","19","1881","209-218","","1891, 0132.","","08, 17843.","","Gräf","2012-12-10"
"B014139","N","Alföldy, G.","Trajano padre y la inscripción de ninfeo de Miletos.","In: J. Gonzáletz (Hrsg.), Trajano emperador de Roma. Actas del Congreso Internacional, Sevilla 1998.","","2000","11-24","Roma","2000, 1425.","","","","Gräf","2013-04-05"
"B014140","N","Oelschig, S.","Kaleidoskop der Epigraphik. Katalog und Rekonstruktion der römischen Steininschriften von Avenches / Aventicum.","","","2009","387 S.","Avenches","2009, 0933; 2009, 0934; 2009, 0935; 2009, 0936; 2009, 0937; 2009, 0938; 2009, 0939; 2009, 0940; 2009, 0941.","1899, 0106; 1916, 0001; 1916, 0002; 1917/18, p. 30 s. n. 128; 1922, 0006; 1922, p. 2 s. n. 6; 1925, 0002; 1946, 0237; 1946, 0238; 1946, 0239; 1967, 0327; 1967, 0329; 1967, 0331; 1967, 0334; 1990, 0769; 1991, 1256; 1991, 1257; 1992, 1267; 1962, 1268; 1994, 1289; 1999, 1115; 2001, 1517; 2004, 0988; 2005, 1102; 2006, 0918; 2009, 0931; 2015, 0973.","13, 05069; 13, 05071; 13, 05072; 13, 05073; 13, 05074; 13, 05076; 13, 05078; 13, 05079; 13, 05080; 13, 05081; 13, 05085; 13, 05090; 13, 05091; 13, 05092; 13, 05093; 13, 05094; 13, 05096; 13, 05097; 13, 05098; 13, 05100; 13, 05101; 13, 05105; 13, 05106, 1; 13, 05106, 2; 13, 05106, 3; 13, 05106, 5; 13, 05109; 13, 05110; 13, 05114; 13, 05124, 1; 13, 05124, 2; 13, 05124, 3; 13, 05124, 4; 13, 05124, 5; 13, 05125; 13, 05132; 13, 05134; 13, 05136; 13, 05138; 13, 05139; 13, 05144; 13, 05145; 13, 05146; 13, 05147; 13, 05148; 13, 05149; 13, 05150; 13, 05151; 13, 11474; 13, 11481; 13, 11482; 13, 11483; 13, 11484; 13, 11485; 13, 11486; 13, 11487; 13, 11488; 13, 11489; 13, 11490; 13, 11493; 13, 11494.","ILS 1519a; ILS 7008.","Osnabrügge","2019-06-19"
"B014141","N","Oelschig, S.","Helvetii publice. Zu den epigraphischen Überresten des Ethnikons der Helvetier in Aventicum / Avenches (CH).","In: W. Spickermann - K. Matijević - H.H. Steenken (Hrsg.), Rom, Germanien und das Reich. Festschrift zu Ehren von Rainer Wiegels anlässlich seines 65. Geburtstages.","","2005","224-255","St. Katharinen","2005, 1102.","","","","Gräf","2012-12-10"
"B014142","N","Bossert, M. - Fuchs, M.","De l'ancien sur le forum d'Avenches.","Pro Aventico","31","1989","12-106","","2005, 1102; 2009, 0933; 2009, 0934; 2009, 0935; 2009, 0936; 2009, 0937; 2009, 0940; 2009, 0941.","","13, 05105; 13, 05106, 1; 13, 05106, 2; 13, 05106, 3; 13, 05106, 5; 13, 05109; 13, 05114; 13, 05124, 1; 13, 05124, 2; 13, 05124, 3; 13, 05124, 4; 13, 05124, 5; 13, 11481; 13, 11482; 13, 11483; 13, 11484; 13, 11485; 13, 11486; 13, 11487; 13, 11488; 13, 11489; 13, 11490; 13, 05144; 13, 05145; 13, 05146; 13, 05147; 13, 05148; 13, 05149; 13, 05150; 13, 05151.","","Gräf","2014-08-06"
"B014143","N","Secrétan, E.","Fouilles et réfections 1913 à 1917.","Pro Aventico","13","1917","11-23","","2005, 1102.","","","","Gräf","2012-12-10"
"B014144","N","Šašel, J.","Huldigung norischer Stämme am Magdalensberg in Kärnten.","Historia","16","1967","70-74","","","1952, 0212; 1952, 0213; 1952, 0214; 1953, 0105; 1954, 0100; 1954, 0241.","","ILLPRON 0234; ILLPRON 0235; ILLPRON 0236.","Gräf","2012-12-11"
"B014145","N","Roduit, L.","Catalogue V. 53. Un bateau pour une corporation de nautes.","In: A. Barbet - M. Fuchs (Hrsg.), Les murs murmurent. Graffitis gallo-romains.","","2008","136","Lausanne","2008, 0948.","","","","Gräf","2012-12-18"
"B014146","N","Roduit, L.","Catalogue V. 55. Paysage de lac et des montagnes.","In: A. Barbet - M. Fuchs (Hrsg.), Les murs murmurent. Graffitis gallo-romains.","","2008","137","Lausanne","2008, 0945.","","","","Gräf","2012-12-18"
"B014147","N","Roduit, L.","Catalogue V. 53. Un bateau pour une corporation de nautes.","In: A. Barbet - M. Fuchs (Hrsg.), Les murs murmurent. Graffitis gallo-romains.","","2008","136","Lausanne","2008, 0948.","","","","Gräf","2012-12-18"
"B014148","N","Solin, H.","Analecta epigraphica CCXLIV-CCLI.","Arctos","42","2008","215-246","","2008, 0942; 2010, 1026.","","","","Feraudi","2020-01-28"
"B014149","N","Henrich, P.","Bleiplomben und Warenetiketten als Quellen zur Wirtschaftsgeschichte im vicus Bonn.","ArchRhein","","2008","101-103","","2008, 0938; 2008, 0939.","","","","Gräf","2012-12-18"
"B014150","N","Matijević, K.","Ein neues Matronenheiligtum in Rheinbach-Flerzheim, Rhein-Sieg-Kreis (Germania Inferior). (Mit englischer und französischer Zusammenfassung)","AKB","38","2008","97-102","","2008, 0934; 2008, 0935; 2008, 0936.","","","","Feraudi","2015-11-13"
"B014151","N","Scherrer, P.","Ein neugefundenes Grabsteinfragment und einige allgemeine Bemerkungen zu den Grabinschriften aus dem Municipium Aelium Cetium.","In: P. Scherrer (Hrsg.), Landeshauptstadt St. Pölten. Archäologische Bausteine.","","1991","57-58","Wien","1992, 1311; 1992, 1312.","","03, 05661; 03, 11803. 03, 11803 add. p. 2200; 03, 11803 add. p. 2286; 03, 11811; 03, 11811 add. p. 2200.","ILLPRON 0873; ILLPRON 0905.","Gräf","2014-04-28"
"B014152","N","Piccottini, G.","KG Gratschach, SG Villach.","FuBerÖ","26","1987","235","","1992, 1337.","","","","Gräf","2012-12-18"
"B014153","N","Piccottini, G.","Römerzeitliche Funde aus St. Ruprecht am Moos, Gratschach und Oberfederaun; Stadtgemeinde Villach, BH Villach.","AustrRom","37","1987","25-26","","1992, 1337.","","","","Gräf","2012-12-18"
"B014154","N","Piccottini, G.","Neue archäologische Funde aus dem Stadtgebiet von Villach.","JbMusVillach","24","1987","7-14","","1992, 1337.","","","","Gräf","2012-12-18"
"B014155","N","Zovatto, P.L.","""Christi Tabernaculum"" in un'iscrizione concordiese.","Epigraphica","14","1952","94-99","","1955, 0086.","","","","Gräf","2012-12-18"
"B014156","N","Zovatto, P.L.","L'epigrafe di Faustiniana nel nuovo sepolcreto cristiano di Concordia.","Epigraphica","12","1950","135-136","","1952, 0057.","","","","Gräf","2012-12-18"
"B014157","N","Wullschleger, M.","Eine römische Fibel mit Liebesinschrift aus der Scharlenmatte in Flumenthal.","ASoloth","13","2008","44-45","","2008, 0949.","","","","Gräf","2013-02-06"
"B014158","N","Lüdemann, H.","Die römischen Kastelle von Wörth a. Main. Forschungsstand - Neufunde - Prospektion und Präsentation.","BerBayDenkmPfl","49","2008","65-100","","2008, 0963; 2008, 0964; 2008, 0965; 2008, 0966.","","","","Gräf","2013-04-10"
"B014159","N","Frei-Stolba, R.","Einblicke ins römische Privatrecht. Zu wiederentdeckten Schreibtafeln aus Vindonissa mit Kantenaufschriften.","Pro Vindonissa","","2008","3-15","","2008, 0952; 2008, 0953; 2008, 0954.","","","","Gräf","2013-08-28"
"B014160","N","Speidel, M.A.","Die römischen Schreibtafeln von Vindonissa.","","","1996","271 S.","Brugg","1996, 1125; 1996, 1126; 1996, 1127; 1996, 1128; 1996, 1129; 1996, 1130; 1996, 1131; 1996, 1132; 1996, 1133; 1996, 1134; 1996, 1135; 2008, 0952; 2008, 0953; 2008, 0954.","1925, 0007; 1925, 0008; 1925, 0009; 1925, 0010; 1926, 0003; 1926, 0004; 1926, 0005; 1926, 0006; 1926, p. 14 s. n. 65; 1927, p. 41 s. n. 153; 1930, 0013; 1946, 0262; 1946, 0264; 1946, 0265; 1946, 0267; 1946, 0268; 1946, 0269; 1946, p. 72 s. n. 269; 1953, 0246a; 1984, 0702; 1984, 0703; 1992, 1272.","","CEL 016; CEL 017; CEL 018; CEL 019; CEL 020; CEL 021; CEL 022; CEL 023; CEL 024; CEL 025; CEL 026; CEL 027; CEL 028; CEL 029; CEL 030; CEL 030bis; CEL 031, CEL 031bis; CEL 032; CEL 033; CEL 033bis; CEL 034; CEL 035; CEL 035 add. p. 65; CEL 036; CEL 037; CEL 038; CEL 039; CEL 040; CEL 041; CEL 042; CEL 043; CEL 044; CEL 045; CEL 046; CEL 047; CEL 048; CEL 048bis; CEL 049; CEL 050; CEL 051; CEL 052; CEL 053; CEL 054; CEL 055; CEL 056; CEL 057; CEL 058; CEL 059; CEL 060; CEL 061; CEL 062; CEL 063; CEL 064; CEL 065; CEL 065 add. p. 17; CEL 066; CEL 066 add. p. 71; CEL 067; CEL 068; CEL 069; CEL 070; CEL 071; CEL 071 add. p. 72; RMD 201b.","Gräf","2020-03-20"
"B014161","N","Steidl, B.","Welterbe Limes. Roms Grenze am Main.","","","2008","298 S.","Obernburg","2008, 0980.","","13, 07411.","CCID 527.","Gräf","2013-02-06"
"B014162","N","Nickel, C.","Minerva am Martberg. (Mit englischer und französischer Zusammenfassung)","AKB","38","2008","537-542","","2008, 0981.","","","","Feraudi","2015-11-13"
"B014163","N","Rothenhöfer, P.","Verborgen an der Mosel. Ein ungewöhnlicher Metalldepotfund aus dem 5. Jh. n. Chr. (Mit englischer und französischer Zusammenfassung)","AKB","37","2007","549-561","","2008, 0982a; 2008, 0982b.","","","","Feraudi","2015-11-13"
"B014164","N","Wiegels, R.","Zwei Blei-Marken aus dem frührömischen Truppenlager Dangstetten.","FBW","14","1989","427-456","","2008, 0960.","","","","Gräf","2013-02-06"
"B014165","N","Nuber, H.U.","P. Quinctilius Varus, legatus legionis XIX. Zur Interpretation der Bleischeibe aus Dangstetten, Lkr. Waldshut. (Mit englischer und französischer Zusammenfassung)","AKB","38","2008","223-231","","2008, 0960.","","","","Feraudi","2015-11-13"
"B014166","N","Ehmig, U.","Aqua mulsa. Ein exzellenter Tropfen Met. (Mit englischer und französischer Zusammenfassung)","BJ","208","2008","63-72","","2008, 0937.","","","","Gräf","2013-02-06"
"B014167","N","Cantarelli, L.","Scoperte archeologiche in Italia e nelle antiche provincie romane.","BCAR","35","1907","362-375","","1908, p. 44 s. n. 184.","","","","Feraudi","2013-01-02"
"B014168","N","Ubl, H.","Raum II - Staatskult. Kaiserverehrung, Kult, Stadtrecht.","In: H. Ubl (Hrsg.), Museum Lauriacum. Katalog zur Schausammlung ""Römerzeit"" des Museums Lauriacum-Enns","2","1997","95-105","Enns - Wien","","1907, 0100: 1908, p. 44 s. n. 184; 1953, 0124; 1955, p. 70 s. n. 223; 1971, 0291.","","","Gräf","2014-06-03"
"B014169","N","Weber, E.","Die rechtliche Stellung dre Zivilstadt von Lauriacum.","JbMusLinz","117","1972","181-198","","1971, 0291.","","","","Feraudi","2013-01-02"
"B014170","N","Galsterer, B. - Galsterer, H.","Zum Stadtrecht von Lauriacum.","BJ","171","1971","334-348","","1971, 0291.","","","","Feraudi","2013-01-02"
"B014171","N","Bormann, E.","Bronzeinschrift aus Lauriacum.","JŒAI","9","1906","315-321","","1907, 0100.","","","","Feraudi","2013-01-02"
"B014172","N","Vetters, H.","V. The Roman West. 3. Regions and sites: The Roman provinces. e. Provinces of the Danube Valley and Balkans (Raetia, Noricum, Pannonia, Dalmatia, Dacia).","FA","6","1951","464-465, Nr. 6031","","1954, 0100.","","","ILLPRON 0234; ILLPRON 0235.","Gräf","2013-01-28"
"B014173","N","Pahič, S.","Koritno, občina Slovenska Bistrica.","VarSpom","33","1991","212","","1991, 1284.","","03, 05291.","ILJug 0407; ILLPRON 1797.","Gräf","2013-01-10"
"B014174","N","Bermudez Cano, J.M. - Hidalgo Pricto, R. - Ventura Villanueva, A.","Nuevos testimonios epigráficos referentes al abastecimiento de agua publica a la Colonia Patricia.","AnCord","2","1991","291-308","","1992, 0980; 1992, 0981.","","02 (2. Aufl.) 07, 00218; 02 (2. Aufl.) 07, 00219.","HEp 04, 1994, 0287; HEp 04, 1994, 0288.","Gräf","2013-02-14"
"B014175","N","Castella, D.","Le palais de Derrière la Tour. Splendeurs et misères d'une grande demeure avenchoise. (Mit deutscher und italienischer Zusammenfassung)","ArchS","31, 3","2008","22-29","","2008, 0947.","","","","Gräf","2013-01-10"
"B014176","N","Blänsdorf, J.","Die Defixionum tabellae des Mainzer Isis- und Mater Magna-Heiligtums.","In: M. Hainzmann - R. Wedenig (Hrsg.), Instrumenta inscripta latina 2. Akten des 2. Internationalen Kolloquiums, Klagenfurt 2005.","","2008","47-70","Klagenfurt","2008, 0969; 2008, 0970; 2008, 0971; 2008, 0972; 2008, 0973; 2008, 0974; 2008, 0975; 2008, 0976; 2008, 0977; 2008, 0978; 2008, 0979.","1927, 0068; 1927, 0069; 2007, 1049.","13, 07550; 13, 07551; 13, 07552; 13, 07553; 13, 07554.","","Osnabrügge","2018-06-01"
"B014177","N","Blänsdorf, J.","Die Defixionum tabellae des Mainzer Isis- und Mater Magna-Heiligtums.","","","2012","207 S.","Mainz","2012, 1023; 2012, 1024; 2012, 1025; 2012, 1026; 2012, 1027.","2004, 1024; 2004, 1025; 2004, 1026; 2005, 1122; 2005, 1123; 2005, 1124; 2005, 1125; 2005, 1126; 2005, 1127; 2005, 1128; 2008, 0969; 2008, 0970; 2008, 0971; 2008, 0972; 2008, 0973; 2008, 0974; 2008, 0975; 2008, 0976; 2008, 0977; 2008, 0978; 2008, 0979; 2011, 0829.","","","Gräf","2018-03-07"
"B014178","N","Frei-Stolba, R.","Les fragments de tables en bronze.","In: D. Castella - A. de Pury-Gysel (Hrsg.), Le palais de Derrière la Tour à Avenches","2","2010","329-350","Lausanne","2008, 0947.","","","","Gräf","2013-08-28"
"B014179","N","Lehner, H.","Orientalische Mysterienkulte im römischen Rheinland.","BJ","129","1924","36-91","","","2008, 0980.","13, 05233; 13, 07411.","CCID 527; SIRIS 714.","Gräf","2019-06-13"
"B014180","N","Wolff, G.","Das Kastell Gross-Krotzenburg.","In: Der obergermanisch-rätische Limes des Römerreiches B, II, 2 (Lieferung 20).","","1914","1-43","Heidelberg","","2008, 0980.","13, 07408; 13, 07410; 13, 07411; 13, 07412; 13, 07413; 13, 07414; 13, 07415; 13, 07416; 13, 07417; 13, 07418; 13, 07419; 13, 07419a; 13, 07420; 13, 07421; 13, 07338; 13, 07362; 13, 07381; 13, 07382; 13, 07383; 13, 07384; 13, 07385.","CCID 527; CIMRM 1157; ILS 0433; ILS 4586b.","Osnabrügge","2019-03-21"
"B014181","N","Lettich, G.","Le iscrizioni sepolcrali tardo-antiche di Concordia.","","","1983","183 S.","Trieste","","1951, 0091; 1976, 0248.","","ILCV 0815.","Gräf","2013-01-21"
"B014182","N","Wiegels, R.","Legio I in Kalkriese? Zu einer Ritzinschrift auf dem Mundblech einer Schwertscheide.","In: G.A. Lehmann - R. Wiegels (Hrsg.), Römische Präsenz und Herrschaft im Germanien der augusteischen Zeit.","","2007","89-111","Göttingen","2007, 1031.","","","","Gräf","2013-01-28"
"B014183","N","Daubner, F.","Der Fährmann des Statthalters. Zu einer neuen Steininschrift aus Köln.","ZPE","161","2007","277-279","","2007, 1020.","","","","Gräf","2013-01-28"
"B014184","N","Schaub, A.","Das archäologische Jahr 2006 in Aachen.","ZAachenGV","109","2007","1-17","","2007, 1018.","","","","Gräf","2013-01-28"
"B014185","N","Matijević, K.","Ein Altar für Apollo und Aesculapius aus Dormagen / Durnomagus, Kreis Neuss. Zur Ergänzung von AE 1977, 564.","ZPE","159","2007","301-302","","2007, 1022.","","","","Gräf","2013-01-28"
"B014186","N","Ehmig, U.","Tituli picti auf Amphoren in Köln.","KJ","40","2007","215-322","","2007, 1021a; 2007, 1021b; 2007, 1021c; 2007, 1021d; 2007, 1021e; 2007, 1021f; 2007, 1021g.","","","","Gräf","2013-01-28"
"B014187","N","Egger, R.","Der Wettergott der Ostalpenländer.","JŒAI","43","1956-1958","41-52","","1959, 0150a; 1959, 0150b.","","","ILLPRON 0214; ILLPRON 0215.","Gräf","2013-11-27"
"B014188","N","Schwinden, L.","Die Weihinschrift für Asclepius CIL XIII 3636 aus Trier.","TZ","57","1994","133-145","","1994, 1238.","","13, 03636.","ILS 1382.","Gräf","2013-01-28"
"B014189","N","Eichler, F.","Zu: E. Birley, JŒAI (Beibl.) 42, 1955, 103-104.","FA","10","1955","320","","1958, 0037.","","","","Gräf","2013-01-29"
"B014190","N","Birley, E.","An unrecorded Roman gentilicium.","JŒAI (Beibl.)","42","1955","103-104","","1958, 0037.","","","ILLPRON 0948.","Gräf","2014-01-28"
"B014191","N","Vittinghoff, F.","Zur Rede des Kaisers Claudius über die Aufnahme von ""Galliern"" in den römischen Senat.","Hermes","82","1954","348-371","","1955, 0115.","","13, 01668.","ILS 0212.","Gräf","2013-01-29"
"B014192","N","Duval, P.-M.","Le dieu Smertrios et ses avatars gallo-romains.","EC","6","1953/54","219-238","","1958, 0031.","","13, 03026.","","Gräf","2013-01-29"
"B014193","N","Feraudi-Gruénais, F.","Das singuläre Gentilnomen Splattia. Bemerkungen zu AE 1976, 188 = AE 1978, 282 aus Vasto/Histonium.","ZPE","184","2013","301-303","","","1976, 0188; 1978, 0282.","","","Feraudi","2013-01-30"
"B014194","N","Rüger, C.B.","Afrikaner in Trier.","In: Y. Le Bohec (Hrsg.), L'Afrique, la Gaule, la religion à l'époque romaine. Mèlanges à la mémoire de Marcel Le Glay.","","1994","468-472","Bruxelles","1994, 1239.","","","","Gräf","2013-02-04"
"B014195","N","Louis, R.","Notes iconographiques sur la mosaique de la naissance des Dioscures au Musée de Trèves.","In: R. Louis (Hrsg.), Mémorial d'un voyage d'études de la Société nationale des antiquaires de France en Rhénanie (juillet 1951).","","1953","217-226","Paris","1953, 0274.","","","","Gräf","2013-02-04"
"B014196","N","Hanel, N.","Ein Terra-sigillata-Gefäß des Sariva aus der Werkstatt des L. Tettius in Arezzo. (Mit englischer und französischer Zusammenfassung)","AKB","37","2007","441-446","","2007, 1023.","","","","Feraudi","2015-11-13"
"B014197","N","Thüry, G.","Amor zwischen Lech und Leitha. Liebe im Römischen Ostalpenraum. Stadtmuseum Wels - Minoriten 21. Mai - 26. Oktober 2010.","MittWels","123, 1","2010","12 S.","Wels","2010, 1265; 2010, 1266.","","03, 13529.","CLE 1992; ILCV 1336.","Gräf","2014-07-24"
"B014198","N","Weber, E.","I lavori di riedizione del CIL III (Pannonia): problemi e risultati.","In: L. Zerbini (Hrsg.), Roma e le Province del Danubio. Atti del Convegno Internazionale, Ferrara - Cento 2009.","","2010","197-207","Soveria Mannelli","2010, 1261.","","02 (2. Aufl.) 14, p. CXXV n. E4.","","Gräf","2015-08-31"
"B014199","N","Németh, M. - Szábo, Á.","To a beautiful soul. Inscriptions on lead mirrors (Collection of Roman Antiquities, Hungarian National Museum).","ACD","46","2010","101-113","","2010, 1275.","","","","Gräf","2014-07-08"
"B014200","N","Mráv, Z.","Az Intercisai auxiliáris castellum Commodus-kori monumentális építési feliratainak egy újabb Töredéke. (Mit englischer Zusammenfassung)","FolA","54","2008-2010","165-184","","2010, 1274.","","","","Gräf","2014-07-08"
"B014201","N","Buza, A. - Kovács, P. - Lőrincz, B.","Egy új építési felirat Intercisából.","In: P. Kovács - A. Szabó (Hrsg.), Közlemények; Tanulmányok; Előszók, Studia Epigraphica Pannonica (SEP)","2","2010","157-160","Budapest","2010, 1273.","","","","Feraudi","2016-03-10"
"B014202","N","Eck, W. - Pangerl, A.","Neue Diplome für die pannonischen Provinzen.","Tyche","25","2010","23-38","","2010, 1272.","","","","Gräf","2014-07-08"
"B014203","N","Corell, J.","Estela funerária romana de Valentia.","FichEpigr","39","1991","Nr. 178","","1991, 1099.","","02 (2. Aufl.) 14, 00072a","","Gräf","2013-02-06"
"B014204","N","González Román, C.","Inscripciones romanas inéditas de la provincia de Jaén III. (Mit englischer Zusammenfassung)","FlorIlib","1","1990","147-159","","1991, 1077; 1991, 1078.","","02 (2. Aufl.) 07, 00058; 02 (2. Aufl.) 07, 00065.","","Gräf","2013-02-06"
"B014205","N","González Román, C.","Inscripciones romanas inéditas de la provincia de Jaén IV. (Mit englischer Zusammenfassung))","FlorIlib","2","1992","225-239","","1992, 1068.","","02 (2. Aufl.) 07, 00002.","","Gräf","2013-02-06"
"B014206","N","Traina, A.","Nota epigrafica.","Eikasmos","17","2006","311-313","","2008, 0959.","","","","Gräf","2013-02-06"
"B014207","N","Huld-Zetsche, I.","Der Mithraskult in Mainz und das Mithräum am Ballplatz.","","","2008","245 S.","Mainz","2008, 0968.","","","","Gräf","2013-02-06"
"B014208","N","Coustures, M.-P.","La provenance des barres de fer romaines des Saintes-Maries-de-la-Mer (Bouches-du-Rhône). Études archéologique et archéométrique.","Gallia","63","2006","243-261","","2006, 0784.","","","","Gräf","2013-02-08"
"B014209","N","Eck, W.","Sextus Lucilius Bassis, der Eroberer von Herodium, in einer Bauinschrift von Abu Gosh.","SCI","18","1999","109-120","","1999, 1689; 1999, 1690.","","","","Gräf","2013-02-13"
"B014210","N","Starac, A.","Epigrafia romana. I. Pola e Nesactium. I. 1. Segnalazioni e discussioni. I. 1A) Inediti. 1. Monumenti funerari rinvenuti presso Porta Rata (Port'Aurea).","AN","69","1998","419-423","","1998, 0551; 1998, 0552; 1998, 0553; 1998, 0554; 1998, 0555.","","","","Gräf","2013-02-13"
"B014211","N","Starac, A.","Epigrafski i anepigrafski spomenici Pule (nalazi 1996.-1998.). (Mit englischer Zusammenfassung)","AArchSlov","51","2000","233-248","","2000, 0594.","","","","Gräf","2013-02-13"
"B014212","N","Starac, A.","Epigrafia romana. I. Pola e Nesactium. I. 1. Segnalazioni e discussioni. I. 1A) Inediti. 2. Iscrizioni votive reimpiegate in edifici di Pola.","AN","69","1998","423-424","","1998, 0556; 1998, 0557.","","","","Gräf","2013-02-13"
"B014213","N","Starac, A.","Istražinvanja kod Herkulovih vrata. Antički epigrafski spomenici. (Mit englischer Zusammenfassung)","OpuscArchZagreb","23/24","1999/2000","133-142","","1999, 0685; 1999, 0686; 1999, 0687; 1999, 0688; 1999, 0689.","","","","Gräf","2013-02-13"
